"Microchip","Weight","Headwidth","age","Sex","Fhat3","year","TrapID"
"985120016099832",7,97.8,19,"Male",-0.072457,2004,"FNP010"
"985120016099832",4.69,89.3,14,"Male",-0.072457,2004,"FNP003"
"985120016099832",7.7,114.1,27,"Male",-0.072457,2005,"48a"
"985120016099832",8.1,115.1,32,"Male",-0.072457,2005,"FNP015"
"FNP000000000003",12.6,119.4,62,"Male",0.10209,2001,"FNP016"
"FNP000000000003",10.3,117.5,38,"Male",0.10209,1999,"FNP013"
"FNP000000000003",12.1,120.8,55,"Male",0.10209,2000,"FNP013"
"FNP000000000003",9,120,48,"Male",0.10209,2000,"FNP015"
"FNP000000000003",9.55,122.1,60,"Male",0.10209,2001,"FNP010"
"FNP000000000003",11.1,117.3,69,"Male",0.10209,2002,"FNP024"
"FNP000000000003",13,119.6,57,"Male",0.10209,2001,"FNP014"
"FNP000000000013",7.75,112.3,21,"Male",-0.1486,2000,"FNP012"
"FNP000000000013",11.8,118,33,"Male",-0.1486,2001,"FNP013"
"FNP000000000013",5.09,96.19,14,"Male",-0.1486,1999,"FNP108"
"FNP000000000013",10.3,115.8,31,"Male",-0.1486,2000,"FNP011"
"FNP000000000015",9,111,27,"Male",-0.0475508,2000,"FNP164"
"FNP000000000015",8.39,113,36,"Male",-0.0475508,2001,"FNP007"
"FNP000000000015",5,94.5,14,"Male",-0.0475508,1999,"FNP011"
"FNP000000000015",8.3,112.5,31,"Male",-0.0475508,2000,"FNP150"
"FNP000000000015",9.85,112,33,"Male",-0.0475508,2001,"FNP005"
"FNP000000000016",9.1,107,26,"Female",-0.0708904,1999,"FNP012"
"FNP000000000016",7.25,107.6,48,"Female",-0.0708904,2001,"FNP150"
"FNP000000000016",9.1,106,43,"Female",-0.0708904,2000,"FNP163"
"FNP000000000016",7.05,107.4,33,"Female",-0.0708904,2000,"FNP150"
"FNP000000000016",8.19,106.1,45,"Female",-0.0708904,2001,"FNP026"
"FNP000000000019",10.8,108.5,51,"Female",-0.0426252,2001,"FNP149"
"FNP000000000019",7.8,108.5,38,"Female",-0.0426252,2000,"FNP198"
"FNP000000000019",7.8,105.8,26,"Female",-0.0426252,1999,"FNP009"
"FNP000000000019",9.1,108.4,43,"Female",-0.0426252,2000,"FNP026"
"FNP000000000021",8.8,107.1,55,"Female",-0.00640469,2000,"FNP013"
"FNP000000000021",8.89,106.6,38,"Female",-0.00640469,1999,"FNP013"
"FNP000000000021",7.05,103.5,60,"Female",-0.00640469,2001,"FNP008"
"FNP000000000021",6.44,105.9,45,"Female",-0.00640469,2000,"FNP015"
"FNP000000000028",4.59,93.09,14,"Female",-0.140361,1999,"FNP008"
"FNP000000000029",3.79,88.5,14,"Male",-0.0787689,1999,"FNP008"
"FNP000000000041",6.8,104,14,"Male",-0.114647,1999,"FNP118"
"FNP000000000042",5.3,98.4,14,"Female",-0.0563111,1999,"FNP158"
"FNP000000000042",8.5,108.5,38,"Female",-0.0563111,2001,"FNP118"
"FNP000000000042",9.19,110.1,50,"Female",-0.0563111,2002,"FNP120"
"FNP000000000042",8.5,106.6,34,"Female",-0.0563111,2001,"FNP122"
"FNP000000000042",7.9,109.8,48,"Female",-0.0563111,2002,"FNP122"
"FNP000000000042",9.1,109.3,41,"Female",-0.0563111,2001,"FNP119"
"FNP000000000042",7.19,107.9,36,"Female",-0.0563111,2001,"FNP116"
"FNP000000000042",8.5,106.6,34,"Female",-0.0563111,2001,"FNP121"
"FNP000000000042",7.4,106.8,31,"Female",-0.0563111,2000,"FNP118"
"FNP000000000042",7.9,109.8,48,"Female",-0.0563111,2002,"FNP121"
"FNP000000000042",6.25,105,21,"Female",-0.0563111,2000,"FNP119"
"FNP000000000044",10.3,132.3,38,"Male",-0.130362,1999,"FNP172"
"FNP000000000045",5.5,100,14,"Female",-0.101868,1999,"FNP152"
"FNP000000000048",9.5,121.8,26,"Male",-0.0934856,1999,"FNP119"
"FNP000000000053",11.1,126.4,60,"Male",-0.122557,2002,"FNP025"
"FNP000000000053",13,126.5,42,"Male",-0.122557,2000,"FNP170"
"FNP000000000053",10.6,124.5,36,"Male",-0.122557,2000,"FNP039"
"FNP000000000053",11.8,126.4,50,"Male",-0.122557,2001,"FNP031"
"FNP000000000053",9.3,116,26,"Male",-0.122557,1999,"FNP118"
"FNP000000000053",8.3,121.5,74,"Male",-0.122557,2003,"FNP028"
"FNP000000000054",8.8,110.9,38,"Female",-0.118154,2001,"FNP031"
"FNP000000000054",4.9,96.9,14,"Female",-0.118154,1999,"FNP119"
"FNP000000000055",4.5,97.59,14,"Male",-0.0894557,1999,"FNP028"
"FNP000000000065",10.8,113.3,27,"Female",0.00274081,2000,"FNP125"
"FNP000000000087",10.3,115.9,27,"Male",-0.0679995,2000,"FNP105"
"FNP000000000087",10.3,115.9,27,"Male",-0.0679995,2000,"FNP124"
"FNP000000000128",8.3,109.6,29,"Female",0.0126236,2001,"FNP028"
"FNP000000000128",9,110.7,27,"Female",0.0126236,2001,"FNP029"
"FNP000000000128",7,105.6,19,"Female",0.0126236,2000,"FNP028"
"FNP000000000130",6.19,100,18,"Female",-0.0438952,2000,"FNP119"
"FNP000000000130",7.4,104.5,21,"Female",-0.0438952,2001,"FNP120"
"FNP000000000132",8.3,110.8,19,"Male",-0.0711309,2000,"FNP086"
"FNP000000000136",7.09,102.1,26,"Female",-0.0576599,2001,"FNP115"
"FNP000000000137",10.7,122.5,43,"Male",-0.107224,2000,"FNP151"
"FNP000000000137",11.5,120.5,50,"Male",-0.107224,2001,"FNP170"
"FNP000000000137",10.6,120.9,48,"Male",-0.107224,2001,"FNP034"
"FNP000000000137",8.64,105.9,34,"Male",-0.107224,2000,"FNP151"
"FNP000000000137",11.3,128.3,60,"Male",-0.107224,2002,"FNP040"
"FNP000000000138",8.6,111.5,36,"Female",0.101786,2002,"FNP118"
